DBN,School Name,X_Coordinate,Y_Coordinate,Latitude,Longitude
13K351,The Urban Assembly Unison School,995195,188583,40.684286,-73.960536
13K412,Brooklyn Community Arts & Media High School (BCAM),995847,191399,40.692015,-73.95818
13K419,"Science Skills Center High School for Science, Technology and the Creative Arts",988540,193333,40.69733,-73.984528
13K439,Brooklyn International High School,988540,193333,40.69733,-73.984528
13K594,Gotham Professional Arts Academy ,994891,186508,40.678591,-73.961636
14K050,J.H.S. 050 John D. Wells,995301,198649,40.711915,-73.960137
14K059,P.S. 059 William Floyd,999978,193443,40.697619,-73.943279
14K071,Juan Morel Campos Secondary School,997197,195765,40.703996,-73.953304
14K126,John Ericsson Middle School 126,998683,201530,40.719818,-73.947932
14K196,P.S. 196 Ten Eyck,1001055,197519,40.708804,-73.939385
14K297,P.S. 297 Abraham Stockton,998623,193354,40.697377,-73.948166
14K380,P.S. 380 John Wayne Elementary,997087,194961,40.70179,-73.953702
14K454,The Williamsburg High School of Art and Technology,999647,197868,40.709765,-73.944463
14K558,Williamsburg High School for Architecture and Design,996776,199978,40.715561,-73.954815
14K582,M.S. 582,1001055,197519,40.708804,-73.939385
14K610,Automotive High School,997187,202123,40.721448,-73.953328
15K038,P.S. 038 The Pacific,989013,188821,40.684945,-73.982826
15K124,P.S. 124 Silas B. Dutcher,986852,182452,40.667464,-73.99062
15K519,Cobble Hill School of American Studies,986778,188793,40.684869,-73.990884
16K026,P.S. 026 Jesse Owens,1003152,191221,40.6921,-73.9317
16K040,P.S. 040 George W. Carver,1006134,187116,40.680239,-73.921099
16K081,P.S. 081 Thaddeus Stevens,1002241,191713,40.692866,-73.935123
16K308,P.S.308 Clara Cardwell,1002135,190058,40.688323,-73.935509
16K335,P.S. 335 Granville T. Woods,1004035,185020,40.674491,-73.928673
16K455,Boys And Girls High School,1003221,186472,40.678478,-73.931604
16K681,Madiba Prep Middle School,1003152,191221,40.6921,-73.9317
16K688,The Brooklyn Academy of Global Finance,1003037,191204,40.691467,-73.932254
17K012,Dr. Jacqueline Peek-Davis School,1006415,184524,40.673124,-73.920095
17K241,P.S. 241 Emma L. Johnston,995090,182982,40.668913,-73.960924
17K246,M.S. 246 Walt Whitman,997159,175492,40.648352,-73.95348
17K352,Ebbets Field Middle School,995490,181629,40.665199,-73.959484
17K354,The School for Integrated Learning,1001559,184216,40.67229,-73.937601
17K568,Brownsville Academy High School,1005367,182019,40.666251,-73.923881
17K722,New Heights Middle School,1001919,180501,40.662092,-73.936313
18K068,I.S. 068 Isaac Bildersee,1008892,170778,40.635388,-73.911215
18K135,P.S. 135 Sheldon A. Brookner,1002855,177223,40.653093,-73.932949
18K272,P.S. 272 Curtis Estabrook,1015787,170842,40.635542,-73.886373
18K563,It Takes a Village Academy,1005836,175271,40.647728,-73.922212
18K566,Brooklyn Generation School,1007307,170435,40.634451,-73.916927
18K569,Kurt Hahn Expeditionary Learning School,1005836,175271,40.647728,-73.922212
18K581,East Flatbush Community Research School,1004020,179408,40.659088,-73.928744
18K588,Middle School for Art and Philosophy,1006497,178909,40.657712,-73.919818
18K629,Cultural Academy for the Arts and Sciences,1005836,175271,40.647728,-73.922212
18K673,East Brooklyn Community High School,1006263,179711,40.659914,-73.920658
19K149,P.S. 149 Danny Kaye,1013999,183161,40.669361,-73.89276
19K158,P.S. 158 Warwick,1016091,184340,40.67259,-73.885214
